Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   50    1 0xffffff7f81705000 0xc000     0xc000     com.apple.security.quarantine (4) 822DFDD8-D3A0-3F7F-A6F3-E5E0F88CD60C <49 48 8 7 6 5 3 2 1>
   51    0 0xffffff7f81711000 0x15000    0x15000    com.apple.AppleSystemPolicy (2.0.0) E3F843D3-6F39-3933-AEEE-614A8DFA0FA8 <50 49 21 8 7 6 5 3 2 1>
   52    0 0xffffff7f83566000 0x3000     0x3000     com.apple.security.TMSafetyNet (8) 2723E6F1-5A2E-3A82-A69C-8312099C7BFC <8 7 6 5 2 1>
   53    0 0xffffff7f8363f000 0xc000     0xc000     com.apple.nke.applicationfirewall (303) A36544CB-2787-30AE-95E1-D04CCA7FD32D <8 7 6 5 3 1>
   54    0 0xffffff7f8365e000 0x19000    0x19000    com.apple.security.AppleImage4 (1) 93E53AC8-1995-3F26-973A-07E7B6D3130B <10 8 7 5 3 1>
   55    0 0xffffff7f831e0000 0x5000     0x5000     com.apple.driver.AppleIntelCPUPowerManagementClient (222.0.0) 0888E5D9-A1BD-3CC3-B97A-C7ADB6BD6EE8 <8 7 6 5 3 1>
   56    0 0xffffff7f849bc000 0x9000     0x9000     org.voodoo.driver.VoodooTSCSync (1.1) 0547D0AD-C9FE-3D5A-9CD7-6B90E6BC0335 <8 5 3>
   57    0 0xffffff7f8376d000 0x5000     0x5000     com.apple.driver.AppleAPIC (1.7) B20F3195-7BF4-3B68-831E-2C180BE8CA78 <13 5 3>
   58    0 0xffffff7f82f41000 0x6000     0x6000     com.apple.driver.AppleSMBIOS (2.1) BF998B87-CE16-3B91-818E-94351D95BA95 <8 5 3>
   59    0 0xffffff7f8229c000 0xb000     0xb000     com.apple.driver.AppleRTC (2.0) 96628AF0-9C32-3C83-B57D-5FC20221E6FC <12 8 6 5 3 1>
   60    2 0xffffff7f813c4000 0xa0000    0xa0000    com.apple.iokit.IOHIDFamily (2.0.0) C0E7E4BE-56E8-38D5-93D5-1474FEC39BD6 <17 8 7 6 5 3 2 1>
   61    0 0xffffff7f82507000 0x8000     0x8000     com.apple.driver.AppleACPIButtons (6.1) 6F28A297-3C0A-3631-83B9-F1FC4A63A19A <60 17 16 12 8 7 6 5 3 1>
   62    0 0xffffff7f83391000 0x5000     0x5000     com.apple.driver.AppleHPET (1.8) E073CEEC-8669-3196-BC3B-B3EAD5084EBD <12 8 6 5 3>
